epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2150.44,0.76369,1.27055,0.62247,0.97234,0.78926,0.70579,0.76028,0.51548,0.7249,0.64124,0.68324,0.38104,1.15452,2.42493,1.03472,1.15103,0.00033962,0.00033962,0.00033962
83,2177.23,0.77281,1.3322,0.63694,0.9816,0.78926,0.70579,0.76028,0.51548,0.7249,0.64124,0.68324,0.38104,1.15452,2.42493,1.03472,1.15103,0.00033764,0.00033764,0.00033764
84,2203.98,0.77885,1.31019,0.63862,0.98699,0.78009,0.70038,0.76619,0.5177,0.74675,0.60843,0.674,0.37751,1.11039,2.38999,1.02335,1.1328,0.00033566,0.00033566,0.00033566
85,2231.06,0.75822,1.26897,0.61795,0.95687,0.78009,0.70038,0.76619,0.5177,0.74675,0.60843,0.674,0.37751,1.11039,2.38999,1.02335,1.1328,0.00033368,0.00033368,0.00033368
86,2258.79,0.75242,1.28194,0.61082,0.97825,0.78109,0.71953,0.76937,0.52767,0.79056,0.62756,0.69988,0.39347,1.08536,2.35596,1.02977,1.11839,0.0003317,0.0003317,0.0003317
87,2286.11,0.79788,1.33267,0.66037,1.01221,0.78109,0.71953,0.76937,0.52767,0.79056,0.62756,0.69988,0.39347,1.08536,2.35596,1.02977,1.11839,0.00032972,0.00032972,0.00032972
88,2312.44,0.76534,1.3078,0.61912,0.96486,0.7846,0.72971,0.76271,0.5239,0.73058,0.65914,0.68992,0.39442,1.10733,2.34308,1.02625,1.11894,0.00032774,0.00032774,0.00032774
89,2338.72,0.73827,1.22532,0.60052,0.95609,0.7846,0.72971,0.76271,0.5239,0.73058,0.65914,0.68992,0.39442,1.10733,2.34308,1.02625,1.11894,0.00032576,0.00032576,0.00032576
90,2367.11,0.77543,1.31035,0.66262,0.98681,0.78522,0.71668,0.76061,0.52154,0.7286,0.64441,0.68196,0.38539,1.13449,2.33829,1.03296,1.12896,0.00032378,0.00032378,0.00032378
91,2395.52,0.73847,1.27091,0.61507,0.97657,0.78522,0.71668,0.76061,0.52154,0.7286,0.64441,0.68196,0.38539,1.13449,2.33829,1.03296,1.12896,0.0003218,0.0003218,0.0003218
